date,net_value
2025-03-31,1.0
2025-04-01,0.9920503879220983
2025-04-02,1.0017438772522635
2025-04-03,1.0221489361444855
2025-04-07,1.0144127670755545
2025-04-08,1.0591845841901268
2025-04-09,1.0931551406815483
2025-04-10,1.0887148105396252
2025-04-11,1.0843826544997925
2025-04-14,1.0683706130284136
2025-04-15,1.0787659178509617
2025-04-16,1.109354171214641
2025-04-17,1.1124875609086673
2025-04-18,1.0953020836360445
2025-04-21,1.079377215958125
2025-04-22,1.094190595090897
2025-04-23,1.0716323813350237
2025-04-24,1.0668835811869861
2025-04-25,1.0711071244233632
