date,asset,score
2024-12-11,000001.SZ,-0.10747835478294532
2024-12-12,000001.SZ,-0.06988909014567637
2024-12-13,000001.SZ,-0.20432460525447751
2024-12-16,000001.SZ,-0.19796880914586584
2024-12-17,000001.SZ,-0.2080398301821172
2024-12-18,000001.SZ,-0.057998109549608004
2024-12-19,000001.SZ,-0.04121483973663581
2024-12-20,000001.SZ,-0.07362031880710426
2024-12-23,000001.SZ,-0.2867590155402966
2024-12-24,000001.SZ,-0.5562261082131207
2024-12-25,000001.SZ,-0.7246778148074083
2024-12-26,000001.SZ,-0.7074160664131631
2024-12-27,000001.SZ,-0.6476714007486366
2024-12-30,000001.SZ,-0.6361586782307217
2024-12-31,000001.SZ,-0.6842932615478314
2024-10-08,000002.SZ,-0.25822437659679964
2024-10-09,000002.SZ,-0.16590407591181666
2024-10-10,000002.SZ,-0.3321952292934852
2024-10-11,000002.SZ,-0.3276147150098988
2024-10-14,000002.SZ,-0.29739718034405205
2024-10-15,000002.SZ,-0.22908035075113944
2024-10-16,000002.SZ,-0.5246808755395422
2024-10-17,000002.SZ,-0.8298991931910089
2024-10-18,000002.SZ,-0.9062025317528821
2024-10-21,000002.SZ,-0.8471312642591445
2024-10-22,000002.SZ,-0.7863063538327988
2024-10-23,000002.SZ,-0.644371038615976
2024-10-24,000002.SZ,-0.5542370721174263
2024-10-25,000002.SZ,-0.574458261663495
2024-10-28,000002.SZ,-0.7349473948094475
2024-10-29,000002.SZ,-0.9124642370624994
2024-10-30,000002.SZ,-0.7366528682081804
2024-10-31,000002.SZ,-0.4600192989008334
2024-11-01,000002.SZ,-0.49190060973359917
2024-11-04,000002.SZ,-0.6580322730659671
2024-11-05,000002.SZ,-0.6608250887175612
2024-11-06,000002.SZ,-0.5822301817546297
2024-11-07,000002.SZ,-0.5941658028392127
2024-11-08,000002.SZ,-0.7090479782154671
2024-11-11,000002.SZ,-0.7765132514871365
2024-11-12,000002.SZ,-0.810132030797363
2024-11-13,000002.SZ,-0.7596861491709134
2024-11-14,000002.SZ,-0.6599432878175376
2024-11-15,000002.SZ,-0.7581220787500276
2024-11-18,000002.SZ,-0.848353345014822
2024-11-19,000002.SZ,-0.8202763638829218
2024-11-20,000002.SZ,-0.7414085839370469
2024-11-21,000002.SZ,-0.5312364802108334
2024-11-22,000002.SZ,-0.575803168992928
2024-11-25,000002.SZ,-0.6449996246857215
2024-11-26,000002.SZ,-0.6815261752080892
2024-11-27,000002.SZ,-0.6035569699245673
2024-11-28,000002.SZ,-0.5010129818470885
2024-11-29,000002.SZ,-0.46819460865086626
2024-12-02,000002.SZ,-0.5244220191005271
2024-12-03,000002.SZ,-0.40454851254971114
2024-12-04,000002.SZ,-0.3512726800800543
2024-12-05,000002.SZ,-0.5293073040043489
2024-12-06,000002.SZ,-0.49605195496429094
2024-12-09,000002.SZ,-0.3358155572439232
2024-12-10,000002.SZ,-0.29390782848311026
2024-12-11,000002.SZ,-0.2382766133120671
2024-12-12,000002.SZ,-0.28999794898380915
2024-12-13,000002.SZ,-0.39813081648305926
2024-12-16,000002.SZ,-0.6121254210593098
2024-12-17,000002.SZ,-0.6936282764147117
2024-12-18,000002.SZ,-0.7566183637686308
2024-12-19,000002.SZ,-0.40023831305598784
2024-12-20,000002.SZ,-0.28894383753840525
2024-12-23,000002.SZ,-0.37443899508404854
2024-12-24,000002.SZ,-0.590189830789216
2024-12-25,000002.SZ,-0.577741784506148
2024-12-26,000002.SZ,-0.5755543907467601
2024-12-27,000002.SZ,-0.4195140568497884
2024-12-30,000002.SZ,-0.3342825106734359
2024-12-31,000002.SZ,-0.3457512767979882
2024-10-08,000063.SZ,-0.8434806359310358
2024-10-09,000063.SZ,-0.7171556463621307
2024-10-10,000063.SZ,-0.37190477973317326
2024-10-11,000063.SZ,-0.24787205858763015
2024-10-14,000063.SZ,-0.34857224949071136
2024-10-15,000063.SZ,-0.4875302299336885
2024-10-16,000063.SZ,-0.5165283849585838
2024-10-17,000063.SZ,-0.42036510480125855
2024-10-18,000063.SZ,-0.6631645691107526
2024-10-21,000063.SZ,-0.7205912047314487
2024-10-22,000063.SZ,-0.4826820720371656
2024-10-23,000063.SZ,-0.22355240688609815
2024-10-24,000063.SZ,-0.2636665713007709
2024-10-25,000063.SZ,-0.40815187597189984
2024-10-28,000063.SZ,-0.6515438693589906
2024-10-29,000063.SZ,-0.7765071917489696
2024-10-30,000063.SZ,-0.7019362684715543
2024-10-31,000063.SZ,-0.5473889420535857
2024-11-01,000063.SZ,-0.4861281947730712
2024-11-04,000063.SZ,-0.4398679164738697
2024-11-05,000063.SZ,-0.5041061728276398
2024-11-06,000063.SZ,-0.6469678139281649
2024-11-07,000063.SZ,-0.640217921279843
2024-11-08,000063.SZ,-0.6962672514698216
2024-11-11,000063.SZ,-0.834622502425902
2024-11-12,000063.SZ,-0.9399342733423588
2024-11-13,000063.SZ,-0.8339395735530418
2024-11-14,000063.SZ,-0.6253421325576286
2024-11-15,000063.SZ,-0.702007777653194
2024-11-18,000063.SZ,-0.7379090824408476
2024-11-19,000063.SZ,-0.7173762397357615
2024-11-20,000063.SZ,-0.5600728786753782
2024-11-21,000063.SZ,-0.4317000356200493
2024-11-22,000063.SZ,-0.6531604758827763
2024-11-25,000063.SZ,-0.8573094377331307
2024-11-26,000063.SZ,-0.7658191493519979
2024-11-27,000063.SZ,-0.6629013344978104
2024-11-28,000063.SZ,-0.5797750858209432
2024-11-29,000063.SZ,-0.6169857851252415
2024-12-02,000063.SZ,-0.6106191890388206
2024-12-03,000063.SZ,-0.7009578353209573
2024-12-04,000063.SZ,-0.5221027030492279
2024-12-05,000063.SZ,-0.7028356008794712
2024-12-06,000063.SZ,-0.514664150401332
2024-12-09,000063.SZ,-0.6719331377067879
2024-12-10,000063.SZ,-0.544997605661196
2024-12-11,000063.SZ,-0.4024685297503885
2024-12-12,000063.SZ,-0.40563557699425196
2024-12-13,000063.SZ,-0.42859927251311397
2024-12-16,000063.SZ,-0.5983180147136788
2024-12-17,000063.SZ,-1.0722430527910636
2024-12-18,000063.SZ,-1.207151754265444
2024-12-19,000063.SZ,-1.1330844273769558
2024-12-20,000063.SZ,-1.03633590864668
2024-12-23,000063.SZ,-0.7099127264013951
2024-12-24,000063.SZ,-0.7117619148815473
2024-12-25,000063.SZ,-0.7606965703113641
2024-12-26,000063.SZ,-0.8345506814875271
2024-12-27,000063.SZ,-0.6237064334126563
2024-12-30,000063.SZ,-0.033247685555525014
2024-12-31,000063.SZ,0.12576322631001927
2024-10-08,000069.SZ,-0.24543528981237894
2024-10-09,000069.SZ,-0.3066662689384509
2024-10-10,000069.SZ,-0.25826815360106936
2024-10-11,000069.SZ,-0.20222799304477157
2024-10-14,000069.SZ,-0.09272697608881891
2024-10-15,000069.SZ,-0.13141114329980286
2024-10-16,000069.SZ,-0.1816693874716757
2024-10-17,000069.SZ,-0.1698462456438546
2024-10-18,000069.SZ,-0.13006689396181445
2024-10-21,000069.SZ,-0.23382935982660788
2024-10-22,000069.SZ,-0.16722062252210457
2024-10-23,000069.SZ,-0.14646329883026207
2024-10-24,000069.SZ,-0.18889055852776865
2024-10-25,000069.SZ,-0.2134128629150171
2024-10-28,000069.SZ,-0.22734379943412256
2024-10-29,000069.SZ,-0.4265965093668618
2024-10-30,000069.SZ,-0.5314610727432529
2024-10-31,000069.SZ,-0.6482638313751509
2024-11-01,000069.SZ,-0.4665321655265812
2024-11-04,000069.SZ,-0.27474897773812995
2024-11-05,000069.SZ,-0.19153634482035006
2024-11-06,000069.SZ,-0.186950768864728
2024-11-07,000069.SZ,-0.22926728308192051
2024-11-08,000069.SZ,-0.23410991293172437
2024-11-11,000069.SZ,-0.19885226831610367
2024-11-12,000069.SZ,-0.19006773597220886
2024-11-13,000069.SZ,-0.22648570882852226
2024-11-14,000069.SZ,-0.22324128381491298
2024-11-15,000069.SZ,-0.23143373505628584
2024-11-18,000069.SZ,-0.23273215332288896
2024-11-19,000069.SZ,-0.17549430024859453
2024-11-20,000069.SZ,-0.2705182812904838
2024-11-21,000069.SZ,-0.3066309500844052
2024-11-22,000069.SZ,-0.48830253925230577
2024-11-25,000069.SZ,-0.5134535976992958
2024-11-26,000069.SZ,-0.5773348822758377
2024-11-27,000069.SZ,-0.460489709326539
2024-11-28,000069.SZ,-0.2929603661235614
2024-11-29,000069.SZ,-0.33792180822565643
2024-12-02,000069.SZ,-0.339015614373554
2024-12-03,000069.SZ,-0.3270432783987008
2024-12-04,000069.SZ,-0.32407159955085685
2024-12-05,000069.SZ,-0.19826072118807886
2024-12-06,000069.SZ,-0.19490171956930075
2024-12-09,000069.SZ,-0.1823078609294589
2024-12-10,000069.SZ,-0.18187253463341713
2024-12-11,000069.SZ,-0.2044572164309591
2024-12-12,000069.SZ,-0.19910747895159187
2024-12-13,000069.SZ,-0.23001626642223133
2024-12-16,000069.SZ,-0.22417926132521054
2024-12-17,000069.SZ,-0.23627636921616835
2024-12-18,000069.SZ,-0.20237166307236512
2024-12-19,000069.SZ,-0.1821862620750257
2024-12-20,000069.SZ,-0.4346417495223238
2024-12-23,000069.SZ,-0.5207954329172129
2024-12-24,000069.SZ,-0.7648504122024645
2024-12-25,000069.SZ,-0.6524329029322702
2024-12-26,000069.SZ,-0.4339358271215784
2024-12-27,000069.SZ,-0.4486026974205557
2024-12-30,000069.SZ,-0.43244657661096486
2024-12-31,000069.SZ,-0.4513064146194651
2024-10-08,000100.SZ,-0.6404040481865025
2024-10-09,000100.SZ,-0.5280906329352772
2024-10-10,000100.SZ,-0.4836651192266351
2024-10-11,000100.SZ,-0.5332365136188857
2024-10-14,000100.SZ,-0.5826818920980525
2024-10-15,000100.SZ,-0.500101111713385
2024-10-16,000100.SZ,-0.4722186708600388
2024-10-17,000100.SZ,-0.6151934091133916
2024-10-18,000100.SZ,-0.7004771552906348
2024-10-21,000100.SZ,-0.7241358760621713
2024-10-22,000100.SZ,-0.5847843338151917
2024-10-23,000100.SZ,-0.5370461921197734
2024-10-24,000100.SZ,-0.6434258722048952
2024-10-25,000100.SZ,-0.6289171484302344
2024-10-28,000100.SZ,-0.5701595763916234
2024-10-29,000100.SZ,-0.4262196702016754
2024-10-30,000100.SZ,-0.6531503970832357
2024-10-31,000100.SZ,-0.7788786533068996
2024-11-01,000100.SZ,-0.8078610935997084
2024-11-04,000100.SZ,-0.638730484143632
2024-11-05,000100.SZ,-0.5228807537825642
2024-11-06,000100.SZ,-0.49200006181703615
2024-11-07,000100.SZ,-0.5206940413805985
2024-11-08,000100.SZ,-0.45977636381140247
2024-11-11,000100.SZ,-0.4900412408771044
2024-11-12,000100.SZ,-0.42011800044089936
2024-11-13,000100.SZ,-0.5636286067345742
2024-11-14,000100.SZ,-0.6475509120586819
2024-11-15,000100.SZ,-0.5182647805822811
2024-11-18,000100.SZ,-0.46429443051645236
2024-11-19,000100.SZ,-0.43942831912743896
2024-11-20,000100.SZ,-0.41631830306550327
2024-11-21,000100.SZ,-0.40170704421362624
2024-11-22,000100.SZ,-0.3825461257473896
2024-11-25,000100.SZ,-0.5416512117746686
2024-11-26,000100.SZ,-0.5893664026709522
2024-11-27,000100.SZ,-0.5735372579707331
2024-11-28,000100.SZ,-0.5399865729287481
2024-11-29,000100.SZ,-0.444547600870949
2024-12-02,000100.SZ,-0.5311539878521485
2024-12-03,000100.SZ,-0.48431095880428576
2024-12-04,000100.SZ,-0.46071886709973864
2024-12-05,000100.SZ,-0.40951692833931497
2024-12-06,000100.SZ,-0.24775230180389518
2024-12-09,000100.SZ,-0.3847490093121929
2024-12-10,000100.SZ,-0.5001978270982755
2024-12-11,000100.SZ,-0.7374569901667349
2024-12-12,000100.SZ,-0.7434371718556891
2024-12-13,000100.SZ,-0.6931431853516572
2024-12-16,000100.SZ,-0.5487246399461048
2024-12-17,000100.SZ,-0.38903281782006316
2024-12-18,000100.SZ,-0.3442709161754477
2024-12-19,000100.SZ,-0.2711549379170221
2024-12-20,000100.SZ,-0.3420450197206148
2024-12-23,000100.SZ,-0.29664160876513446
2024-12-24,000100.SZ,-0.24592624074896785
2024-12-25,000100.SZ,-0.37156556264504914
2024-12-26,000100.SZ,-0.35523181293298484
2024-12-27,000100.SZ,-0.36888087220465826
2024-12-30,000100.SZ,-0.27547299077463294
2024-12-31,000100.SZ,-0.2926719002380257
2024-10-08,000157.SZ,-0.5164523827878408
2024-10-09,000157.SZ,-0.5512307798050787
2024-10-10,000157.SZ,-0.6047163613883354
2024-10-11,000157.SZ,-0.7482917769251112
2024-10-14,000157.SZ,-0.743393259440881
2024-10-15,000157.SZ,-0.68711869383203
2024-10-16,000157.SZ,-0.7316246467475658
2024-10-17,000157.SZ,-0.7801834491028492
2024-10-18,000157.SZ,-0.7049640070478767
2024-10-21,000157.SZ,-0.6604900532167907
2024-10-22,000157.SZ,-0.573993258748377
2024-10-23,000157.SZ,-0.5812817573144737
2024-10-24,000157.SZ,-0.5571534111023506
2024-10-25,000157.SZ,-0.4576095957627002
2024-10-28,000157.SZ,-0.4311880189852881
2024-10-29,000157.SZ,-0.24976181976236844
2024-10-30,000157.SZ,-0.2714903688564897
2024-10-31,000157.SZ,-0.299208312524992
2024-11-01,000157.SZ,-0.48403732377773223
2024-11-04,000157.SZ,-0.5419670941508855
2024-11-05,000157.SZ,-0.501071135131252
2024-11-06,000157.SZ,-0.26296696068126496
2024-11-07,000157.SZ,-0.24457813982634088
2024-11-08,000157.SZ,-0.4390062307227351
2024-11-11,000157.SZ,-0.49802923718980807
2024-11-12,000157.SZ,-0.4046717616435836
2024-11-13,000157.SZ,-0.34772265820392684
2024-11-14,000157.SZ,-0.3549234497619574
2024-11-15,000157.SZ,-0.35496370794435883
2024-11-18,000157.SZ,-0.13494131082704677
2024-11-19,000157.SZ,-0.10885534972634159
2024-11-20,000157.SZ,-0.09254729161063581
2024-11-21,000157.SZ,-0.17392931368832507
2024-11-22,000157.SZ,-0.1812705402120146
2024-11-25,000157.SZ,-0.30406474590643784
2024-11-26,000157.SZ,-0.4028545478118648
2024-11-27,000157.SZ,-0.6050963750216024
2024-11-28,000157.SZ,-0.6789821274685619
2024-11-29,000157.SZ,-0.6566757042469842
2024-12-02,000157.SZ,-0.4887191851987807
2024-12-03,000157.SZ,-0.3726093883282957
2024-12-04,000157.SZ,-0.40144529951410846
2024-12-05,000157.SZ,-0.2086332715578177
2024-12-06,000157.SZ,-0.4066256957873058
2024-12-09,000157.SZ,-0.4539477798157314
2024-12-10,000157.SZ,-0.30692569105883993
